b/y Value	Cost
1.4295		8897.8803
1.4296		8898.0421
1.4297		8898.2039
1.4298		8898.3657
1.4299		8898.5275
1.43		8898.6893
1.4301		8898.8511
1.4302		8899.0129
1.4303		8899.1747
1.4304		8899.3365
1.4305		8899.4983
1.4306		8899.6601
1.4307		8899.8219
1.4308		8899.9837
1.4309		8900.1455
1.431		8900.3073
1.4311		8900.4692
1.4312		8900.631
1.4313		8900.7928
1.4314		8900.9546
1.4315		8901.1164
1.4316		8901.2782
1.4317		8901.44
1.4318		8901.6018
1.4319		8901.7636
1.432		8901.9254
1.4321		8902.0872
1.4322		8902.249
1.4323		8902.4108
1.4324		8902.5726
1.4325		8902.7344
1.4326		8902.8962
1.4327		8903.058
1.4328		8903.2198
1.4329		8903.3816
1.433		8903.5434
1.4331		8903.7052
1.4332		8903.867
1.4333		8904.0288
1.4334		8904.1906
1.4335		8904.3524
1.4336		8904.5142
1.4337		8904.6761
1.4338		8904.8379
1.4339		8904.9997
1.434		8905.1615
1.4341		8905.3637
1.4342		8905.5255
1.4343		8905.6873
1.4344		8905.8491
1.4345		8906.0109
1.4346		8906.1727
1.4347		8906.3345
1.4348		8906.4963
1.4349		8906.6581
1.435		8906.82
1.4351		8906.9818
1.4352		8907.1436
1.4353		8907.3054
1.4354		8907.4672
1.4355		8907.629
1.4356		8907.7908
1.4357		8907.9526
1.4358		8908.1144
1.4359		8908.2762
1.436		8908.438
1.4361		8908.5998
1.4362		8908.7616
1.4363		8908.9234
1.4364		8909.0852
1.4365		8909.247
1.4366		8909.4088
1.4367		8909.5706
1.4368		8909.7324
1.4369		8909.8942
1.437		8910.056
1.4371		8910.2178
1.4372		8910.3796
1.4373		8910.5414
1.4374		8910.7032
1.4375		8910.865
1.4376		8911.0269
1.4377		8911.1887
1.4378		8839.4888
1.4379		8911.5123
1.438		8911.6741
1.4381		8911.8359
1.4382		8911.9977
1.4383		8912.1595
1.4384		8912.3213
1.4385		8912.4831
1.4386		8912.6449
1.4387		8912.8067
1.4388		8912.9685
1.4389		8913.1303
1.439		8913.2921
1.4391		8913.4539
1.4392		8913.6157
1.4393		8913.7775
1.4394		8913.9393
1.4395		8914.1011
1.4396		8914.2629
1.4397		8914.4247
1.4398		8914.5865
1.4399		8914.7483
1.44		8914.9101
1.4401		8915.0719
1.4402		8915.2338
1.4403		8915.3956
1.4404		8915.5574
1.4405		8915.7192
1.4406		8915.881
1.4407		8916.0428
1.4408		8916.2046
1.4409		8916.3664
1.441		8916.5282
1.4411		8916.69
1.4412		8916.8518
1.4413		8917.0136
1.4414		8917.1754
1.4415		8917.3372
1.4416		8917.499
1.4417		8917.6608
1.4418		8917.8226
1.4419		8917.9844
1.442		8918.1462
1.4421		8918.308
1.4422		8918.4698
1.4423		8918.6316
1.4424		8918.7934
1.4425		8918.9552
1.4426		8919.117
1.4427		8919.2788
1.4428		8919.4407
1.4429		8919.6025
1.443		8919.7643
1.4431		8919.9261
1.4432		8920.0879
1.4433		8920.2497
1.4434		8920.4115
1.4435		8920.5733
1.4436		8920.7351
1.4437		8920.8969
1.4438		8921.0587
1.4439		8921.2205
1.444		8921.3823
1.4441		8921.5441
1.4442		8921.7059
1.4443		8921.8677
1.4444		8922.0295
1.4445		8922.1913
1.4446		8922.3531
1.4447		8922.5149
1.4448		8922.6767
1.4449		8922.8385
1.445		8923.0003
1.4451		8923.2026
1.4452		8923.3644
1.4453		8923.5262
1.4454		8923.688
1.4455		8923.8498
1.4456		8924.0116
1.4457		8924.1734
1.4458		8924.3352
1.4459		8924.497
1.446		8924.6588
1.4461		8924.8206
1.4462		8924.9824
1.4463		8925.1442
1.4464		8925.306
1.4465		8925.4678
1.4466		8925.6296
1.4467		8925.7915
1.4468		8925.9533
1.4469		8926.1151
1.447		8926.2769
1.4471		8926.4387
1.4472		8926.6005
1.4473		8926.7623
1.4474		8926.9241
1.4475		8927.0859
1.4476		8927.2477
1.4477		8927.4095
1.4478		8927.5713
1.4479		8927.7331
1.448		8927.8949
1.4481		8928.0567
1.4482		8928.2185
1.4483		8928.3803
1.4484		8928.5421
1.4485		8928.7039
1.4486		8928.8657
1.4487		8929.0275
1.4488		8929.1893
1.4489		8929.3511
1.449		8929.5129
1.4491		8929.6747
1.4492		8929.8365
1.4493		8929.9984
1.4494		8930.1602
1.4495		8930.322
1.4496		8930.4838
1.4497		8930.6456
1.4498		8930.8074
1.4499		8930.9692
1.45		8931.131
1.4501		8931.2928
1.4502		8931.4546
